,Code,Company,Sector,Market Capitalisation,Chairperson,HQ
169,SUN,Suncorp,Financials,17110887369,Duncan West,Brisbane
170,TAH,Tabcorp,Consumer Discretionary,2132159134,Brett Chenoweth,Melbourne
171,TCL,Transurban,Industrials,43245747038,Craig Drummond,Melbourne
172,TLC,The Lottery Corporation,Consumer Discretionary,12019167196,Dr Douglas McTaggart,Brisbane
173,TLS,Telstra,Communication Services,60905654189,Craig Dunn,Melbourne
174,TLX,Telix Pharmaceuticals,Healthcare,4388639072,Mark Nelson,Melbourne
175,TNE,TechnologyOne,Information Technology,8809487438,Patrick O'Sullivan,Brisbane
176,TPG,TPG Telecom,Communication Services,8009159952,Canning Fok,Sydney
177,TUA,Tuas,Communication Services,3175213830,David Teoh,Sydney
178,TWE,Treasury Wine Estates,Consumer Staples,3011740980,John Patrick Mullen,Melbourne
179,VAU,Vault Minerals,Materials,4289644572,Russell Clark,Perth
180,VCX,Vicinity Centres,Real Estate,11044000315,Trevor Gerber,Melbourne
181,VEA,Viva Energy,Energy,4221278806,Sarah Ryan,Melbourne
182,VGN,Virgin Australia Holdings,Industrials,1803733243,Peter Warne,Brisbane
183,VNT,Ventia Services Group,Industrials,4300326134,David Moffatt,Sydney
184,WAF,West African Resources,Materials,3701668429,Richard Hyde,Perth
185,WAM,WAM Capital,Financials,1913056911,Geoffrey Wilson,Sydney
186,WBC,Westpac,Financials,136299086704,Steven Gregg,Sydney
187,WDS,Woodside Energy Group,Energy,66405427995,Richard Goyder,Perth
188,WES,Wesfarmers,Consumer Discretionary,83209566732,Michael Chaney,Perth
189,WGX,Westgold Resources,Materials,5678437700,Cheryl Edwardes,Perth
190,WHC,Whitehaven Coal,Energy,7500938233,Hon Mark Vaile,Sydney
191,WLE,WAM Leaders,Financials,1886266717,Geoffrey Wilson,Sydney
192,WOR,Worley,Energy,5539089692,John Grill,Sydney
193,WOW,Woolworths Group,Consumer Staples,45211386096,Scott Perkins,Sydney
194,WTC,Wisetech Global,Information Technology,12731179354,Richard White,Sydney
195,XRO,Xero,Information Technology,12633999232,David Thodey,"Wellington, New Zealand"
196,XYX,"Block, Inc.",Financials,3139539773,Jack Dorsey,"Oakland, California, United States of America"
197,YAN,Yancoal Australia,Materials,10920034144,Gregory Fletcher,Sydney
198,ZIM,Zimplats Holdings,Materials,1878276975,Fholisani Mufamadi,"Guernsey, Channel Islands"
199,ZIP,Zip,Financials,2001326648,Diane Smith-Gander,Sydney
