,Symbol,Market cap,Company
238,6504,10.21 B ,"Fuji Electric Co., Ltd."
240,8795,10 B ,"T&D Holdings, Inc."
242,9843,9.79 B ,Nitori Holdings Co. Ltd.
244,9021,9.34 B ,West Japan Railway Company
246,7912,9.23 B ,"Dai Nippon Printing Co., Ltd."
248,7733,9.05 B ,Olympus Corp.
250,6841,8.96 B ,Yokogawa Electric Corp.
252,5831,8.92 B ,"Shizuoka Financial Group, Inc."
254,9602,8.87 B ,"Toho Co., Ltd."
256,8331,8.74 B ,"Chiba Bank, Ltd."
258,9202,8.66 B ,ANA Holdings Inc.
260,7911,8.59 B ,TOPPAN Holdings Inc.
262,4523,8.54 B ,"Eisai Co., Ltd."
264,6963,8.26 B ,ROHM Company Limited
266,7201,7.98 B ,"Nissan Motor Co., Ltd."
268,2801,7.97 B ,Kikkoman Corporation
270,6305,7.89 B ,"Hitachi Construction Machinery Co., Ltd."
272,5201,7.77 B ,AGC Inc.
274,4188,7.67 B ,Mitsubishi Chemical Group Corporation
276,4151,7.65 B ,"Kyowa Kirin Co., Ltd."
278,4911,7.55 B ,"Shiseido Company,Limited"
280,6506,7.49 B ,Yaskawa Electric Corporation
282,2768,7.48 B ,Sojitz Corp.
284,8354,7.35 B ,"Fukuoka Financial Group, Inc."
286,5411,7.23 B ,"JFE Holdings, Inc."
288,9201,7.1 B ,"Japan Airlines Co., Ltd."
290,2413,7.09 B ,"M3, Inc."
292,5333,7.08 B ,"NGK Insulators, Ltd."
294,9005,7.06 B ,TOKYU CORPORATION
296,6479,7.05 B ,MinebeaMitsumi Inc.
298,2269,6.77 B ,"Meiji Holdings Co., Ltd."
300,7272,6.61 B ,"Yamaha Motor Co., Ltd."
302,9501,6.44 B ,"Tokyo Electric Power Company Holdings, Incorporated"
304,3092,6.38 B ,"ZOZO, Inc."
306,3099,6.34 B ,Isetan Mitsukoshi Holdings Ltd.
308,3289,6.15 B ,Tokyu Fudosan Holdings Corp.
310,5101,6.07 B ,"Yokohama Rubber Co., Ltd."
312,5332,5.77 B ,TOTO Ltd
314,3861,5.64 B ,Oji Holdings Corp.
316,6645,5.6 B ,OMRON Corporation
318,9147,5.56 B ,"Nippon Express Holdings, Inc."
320,4021,5.38 B ,Nissan Chemical Corporation
322,4005,5.12 B ,"Sumitomo Chemical Co., Ltd."
324,1808,5.04 B ,Haseko Corporation
326,5406,5 B ,"Kobe Steel, Ltd."
328,8804,4.94 B ,"Tokyo Tatemono Co., Ltd."
330,7752,4.81 B ,"Ricoh Company, Ltd."
332,4042,4.81 B ,Tosoh Corporation
334,4183,4.74 B ,"Mitsui Chemicals, Inc."
336,5631,4.64 B ,"Japan Steel Works, Ltd."
338,6113,4.63 B ,"AMADA Co., Ltd."
