,Ticker,Company,Sector,Industry [9],MarketCap
173,RCH,Richelieu Hardware Ltd.,Consumer Cyclical,Home and Homeware,2296047202
174,REI.UN,RioCan Real Estate Investment Trust,Real Estate,REITs,
175,RCI.B,Rogers Communications Inc.,Communication Services,Telecommunication Services,
176,RY,Royal Bank of Canada,Financial Services,Banks,3.10105E+11
177,RUS,Russel Metals Inc.,Industrials,Industrial Distribution,2545504955
178,SSL,Sandstorm Gold Ltd.,Basic Materials,Metals & Mining,
179,SAP,Saputo Inc.,Consumer Staples,Consumer Packaged Goods,17215199930
180,SEA,Seabridge Gold Inc.,Basic Materials,Metals & Mining,4590350435
181,SES,Secure Energy Services Inc.,Industrials,Waste Management,4394932363
182,SHOP,Shopify Inc.,Information Technology,Software,2.21201E+11
183,SIA,Sienna Senior Living Inc.,Healthcare,Healthcare Providers & Services,2260087623
184,SIL,SilverCrest Metals Inc.,Basic Materials,Metals & Mining,
185,SRU.UN,SmartCentres Real Estate Investment Trust,Real Estate,REITs,
186,SOBO,South Bow Corporation,Energy,Oil & Gas Storage/Transport,9581605708
187,TOY,Spin Master Corp.,Consumer Cyclical,Travel & Leisure,1873827316
188,SII,Sprott Inc.,Financial Services,Asset Management,5229453201
189,SSRM,SSR Mining Inc.,Basic Materials,Metals & Mining,7860594031
190,STN,Stantec Inc.,Industrials,Construction,13818075826
191,STLC,Stelco Holdings Inc.,Basic Materials,Steel,
192,SJ,Stella-Jones Inc.,Basic Materials,Forest Products,5325459880
193,SVI,StorageVault Canada Inc.,Real Estate,Real Estate,1628863048
194,SLF,Sun Life Financial Inc.,Financial Services,Insurance,47718728616
195,SU,Suncor Energy Inc.,Energy,Integrated Oil & Gas,97372937463
196,SPB,Superior Plus Corp.,Utilities,Regulated Utilities,1467141155
197,TVE,Tamarack Valley Energy Ltd.,Energy,Oil & Gas Exploration and Production,5217951286
198,TRP,TC Energy Corporation,Energy,Oil & Gas Storage/Transport,91087500000
199,TECK.B,Teck Resources Limited,Basic Materials,Metals & Mining,
200,T,Telus Corporation,Communication Services,Telecommunication Services,28113610357
201,TFII,TFI International Inc.,Industrials,Transportation,11520292980
202,TRI,Thomson Reuters Corporation,Industrials,Business Services,58820256287
203,TLRY,Tilray Brands Inc.,Healthcare,Drug Manufacturers,1104485510
204,X,TMX Group Limited,Financial Services,Capital Markets,13654333419
205,TPZ,Topaz Energy Corp.,Energy,Oil & Gas Storage/Transport,4855985976
206,TXG,Torex Gold Resources Inc.,Basic Materials,Metals & Mining,6386141373
207,TIH,Toromont Industries Ltd.,Industrials,Industrial Distribution,16098962597
208,TD,Toronto-Dominion Bank,Financial Services,Banks,2.14002E+11
209,TOU,Tourmaline Oil Corp.,Energy,Oil & Gas Exploration and Production,25977179492
210,TA,TransAlta Corporation,Utilities,Independent Power Producers,5078248181
211,TCL.A,Transcontinental Inc.,Consumer Cyclical,Packaging & Containers,
212,TFPM,Triple Flag Precious Metals Corp.,Basic Materials,Metals & Mining,10171537528
213,TSU,Trisura Group Ltd.,Financial Services,Insurance,2093901651
214,VRN,Veren Inc.,Energy,Oil & Gas Exploration and Production,
215,VET,Vermilion Energy Inc.,Energy,Oil & Gas Exploration and Production,2488940924
216,WCN,Waste Connections Inc.,Industrials,Waste Management,58639088073
217,WDO,Wesdome Gold Mines Ltd.,Basic Materials,Metals & Mining,3677610170
218,WFG,West Fraser Timber Co. Ltd.,Basic Materials,Forest Products,6942114399
219,WPM,Wheaton Precious Metals Corp.,Basic Materials,Metals & Mining,87230458654
220,WCP,Whitecap Resources Inc.,Energy,Oil & Gas Exploration and Production,17381615630
221,WPK,Winpak Ltd.,Consumer Cyclical,Packaging & Containers,2648611965
222,WSP,WSP Global Inc.,Industrials,Construction,29933844356
